,100,200,300,400,500,600,700,800,900,1000,1100,1200,1279,1300,1400,1492,1500,1530,1600,1650,1700,1715,1783,1800,1815,1880,1900,1914,1920,1930,1938,1945,1960,1994,2000,2010
Saipan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,
Saka Kingdom,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sakhalin (RU),,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,
Sakurabiat,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Salasaka,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Salinan,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Salish & Kootenai Tribes,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Salish Kootenai (Flathead),,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Salmon River,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Saluda,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Samanid Empire,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sambian-Nothangian culture,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sami,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samis,,,,,,,,,,X,,,,X,,,,,,,,,,,,,,,,,,,,,,
Samish,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,X,X,X,X
Samoyèdes,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Carlos Apache,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
San Marino,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,
San Poil,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Sana,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Sanapaná,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Sanavirones,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Santee,,,,,,,,,,,,,,,,X,,X,X,X,X,,,,,,,,,,,,,,,
Santiam,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Santo Domingo (Spain),,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,
Sapara,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Sappony,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Saraguro,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Sardinia,,,,,,,,,,X,X,X,X,X,X,,,X,X,X,X,X,,,,,,,,,,,,,,
Sardinia-Piedmont,,,,,,,,,,,,,,,,,,,,X,X,X,,,,,,,,,,,,,,
Sasanian Empire,,,,,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sasanian dependencies,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sataré-Mawé,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Satavahanihara,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X
Saugeen Complex,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sauk Suiattle,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Sauk and Meskwaki,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Saunan,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,
Saura,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Savanna hunter-gatherers,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,X,X,X,X,X,X,X,,,,,,,,,,,,,
Savoy,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,
Saxons,,,,,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saxony,,,,,,,,,,,,,,,,,,,,,,,X,X,X,,,,,,,,,,,
Saylan,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,
Schaumburg-Lippe,,,,,,,,,,,,,,,,,,,,,,,X,X,X,,,,,,,,,,,
Schitsu’umsh (Coeur d’Alene),,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Schleswig,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,
Scotland,,,,,,,,,,X,X,X,X,X,X,,,X,X,,,,,,,,,,,,,,,,,
Scots,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scottalnd,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,
Scottland,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,
Scythians,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Second Samori Empire,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,
Secotan,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Secwepemcúl'ecw (Secwépemc),,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Segu,,,,,,,,,,,,,,,,,,,,,,X,X,X,,,,,,,,,,,,
Sekakawon,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Seljuk Caliphate,,,,,,,,,,,,,X,X,X,,,,,,,,,,,,,,,,,,,,,
Seljuk Empire,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,
Selk'nam,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Selkirk,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Semiahmoo,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Seminole,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Seminole (Oklahoma),,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Seminole Tribe of Florida (Big Cypress Reservation),,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Seminole Tribe of Florida (Brighton Reservation),,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Seminole Tribe of Florida (Hollywood Reservation),,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Seminole Tribe of Florida (Immokalee Reservation),,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Seminole Tribe of Florida (Tampa Reservation),,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Senas,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,
Seneca-Cayuga (Oklahoma),,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Senegal,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,X,,X,,,,,X,X,X,X,X
Senegal (FR),,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,
Serano,,,,,,,,,,,,,,,,,,X,X,X,X,X,,,,,,,,,,,,,,
Serbia,,,,,,,,,X,X,X,,X,,,,,,,,,,,,,X,X,X,,,,,,X,X,X
Severians,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sewee,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Shakori,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Shan states,,,,,,,,,,,,,,,,,,X,X,X,X,X,,,,,,,,,,,,,,
Shanenawa,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Sharanahua,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Shaskanka,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shasta,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Shawanaua,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Shawandasse Tula (Shawanwaki/Shawnee),,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Shawi,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Shawnee,,,,,,,,,,,,,,,,,,X,X,X,X,X,,,,,,,,,,,,,,
Shellfish gatherers,X,X,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shigom,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Shipibo-Konibo,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Shirvan,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,
Shita Got’ine,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Shiwiar,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Shiwilu,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Shiwinna (Zuni),,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Shmuwich (Barbareño),,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Shoa,,,,,,,,,,,,,X,X,X,,,,,,,,,,,,,,,,,,,,,
Shoalwater Bay,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Shogun Japan (Kamakura),,,,,,,,,,,,,X,X,X,,,,,,,,,,,,,,,,,,,,,
Shona,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,
Shoshone-Bannock,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Shoshoni,,,,,,,,,,,,,,,,,,X,X,X,X,X,,,,,,,,,,,,,,
Shuar,,,,,,,,,,,,,X,X,X,,X,X,X,X,X,X,X,X,X,,,,,,,,,,,
Shuar-Wampis,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Shíshálh,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Siam,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,X,,,,,
Siberians,,,,,,,,,,,,,X,X,X,X,X,,,,,,,,,,,,,,,,,,,
Sicangu,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Sicaog (Saukiog),,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Sicily,,,,,,,,,,,,,X,X,X,,,X,X,X,X,X,,,,,,,,,,,,,,
Siekopa’aiInte/Aido-Pãi (Secoya),,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Sierra Leone,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,X,X,X,X,X
Siginygmit (Sireniki) Yupik,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Sihapsa,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Sikhs,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,
Sikkim (Indian princely state),,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,
Siletz,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Silia,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Silla,X,X,X,X,X,X,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,
Simhala,X,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sind,,,,,,,,,,,,,,,,X,,,,,,,X,,,,,,,,,,,,,
Sindh,,,,,,,,,X,,,,,,,,,,,,,,,X,,,,,,,,,,,,
Sinhalese kingdom,,,,,,,,,,,,,X,X,X,,,,,,,,,,,,,,,,,,,,,
Sinhalese kingdoms,,,,,,,,X,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,
Sinkyone,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Siria-masã (Siriano),,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Sirionó,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Sisseton,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Sissipahaw,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Siuslaw,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Sivuqaq (St. Lawrence Island) Yupik,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Sixteen Kingdoms,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skagit,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Skaruhreh/Tuscarora (North Carolina),,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Skilloot,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Skirii,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skwxwú7mesh-ulh Temíx̱w (Squamish),,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Skykomish,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Slavic tribes,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slavonic tribes,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slavs,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slijuala Xanuc (Chontal),,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Slovakia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X
Slovenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X
Snohomish,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Snuneymuxw,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
So'to (Yekuana),,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Sobaipuri,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Sokoto Caliphate,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,
Solankis,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,
Somalia,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,X,X,X,X,X
Somi Se'k (Esto’k Gna),,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Somvamsis,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,
Song Empire,,,,,,,,,,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,
Songhai,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,X,X,,,,,,,,,,,,
Soomra Emirate,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,
Sotho,,,,,,,,,,,,,,,,,,,,,,,X,X,X,,,,,,,,,,,
South Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,X,X,X,X,X
South Australia (UK),,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,
South Carolina,,,,,,,,,,,,,,,,,,,,X,X,X,,,,,,,,,,,,,,
South Russia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,
Southeastern Pomo,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Southern Cameroon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,
Southern Paiute,,,,,,,,,,,,,,,,,,X,X,X,X,X,,,,,,,,,,,,,,
Southern Pomo,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Southern Rhodesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,
Southern Xiongnu,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
Spanish Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,
Spanish Morocco,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,
Spanish Sahara,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,,,,,
Spokane,,,,,,,,,,,,,,,,X,,X,X,,,,,,,,,,,,,,,,,
Squaxin,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Sri Lanka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,X
Srivijaya Empire,,,,,,,,X,X,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,
Steilacoom,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Stellat'en,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Stillaguamish,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Stoney,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Sturgeon Lake Cree,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Stz'uminus,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
St̓át̓imc Tmicw (St'at'imc),,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Subarctic forest hunter-gatherers,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,X,X,X,X,X,X,,,,,,,,,,,,,,
Subtiaba,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,X
Sugaree,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Sui Empire,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sukhothai,,,,,,,,,,,,,X,X,X,,,,,,,,,,,,,,,,,,,,,
Sultanate of Damagaram,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,
Sultanate of Delhi,,,,,,,,,,,,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,
Sultanate of Utetera,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,
Sultinate of Zanzibar,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,
Sumas,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Suomi,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,
Suquamish,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Sura,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Suren Kingdom,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Surinam,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,
Suriname,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,X,X
Surui Paiter,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Suruwaha,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Suspiaq,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,,,,,,,,,,,,
Susquehanna,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,
Susquehannock,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Sveves,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Swabia,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,
Swaziland,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,X,X,X,X
Sweden,,,,,,,,,,X,X,X,X,X,,X,,X,X,X,X,X,X,X,,,,X,X,X,X,X,X,X,X,X
Sweden–Norway,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,,,,,,,,,
Swedes,,,,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Swedes and Goths,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,
Swift Creek Culture,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Swinomish,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Swiss Confederation,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,X,,,,,,,,,,,,,
Switzerland,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,X,X,X,X,X
Syilx tmixʷ (Okanagan),,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Syria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,X
Syria (France),,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,,,,,
Syunik,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,
Sámi,,X,,,,,,X,,,X,X,X,,X,X,X,X,,,,,,,,,,,,,,,,,,
S’atsoyaha (Yuchi),,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
S’ólh Téméxw (Stó:lō),,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
T'atsaot'ine,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,,,,,,,,,,,,
Ta'an Kwäch'än,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Tacana,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Tagish,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Tagé Cho Hudän (Little Salmon/Carmacks),,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Tahues,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Taino,,,,,,,,,,X,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,
Taiwan,,,,,,,,,,,,,,,,X,X,,,,,,,,,X,,,,,,X,X,X,X,X
Taiwanese Tribes,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,
Tajikistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X
Takalak,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,,,,,,,,,,,,
Takelma,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Takla,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Takrur,,,,,,,,,,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,
Taku River Tlingit,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Tama Dujo,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Tamalipueca,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,
Tamaulipeco tribes,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Tamien Nation,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Tampachoa (Mansos),,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Tanacross,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Tanana,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Tancalba,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,
Tang Empire,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tanimuka,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Tano,,,,,,,,,,,,,,,,,,X,X,X,X,,,,,,,,,,,,,,,
"Tanzania, United Republic of",,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,X
Taos Pueblo,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Tapachulteco (mixe-zoque),,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Tapieté/Guaraní-Ñandeva,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Tariana,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Tashir,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,
Tasmanian hunter-gatherers,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,,,,,,,,,,,,,
Tastil,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Taungurung,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,,,,,,,,,,,,
Tawahka,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Tawakoni,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Tecuexe,,,,,,,,,,,,,,,,X,,X,X,,,,,,,,,,,,,,,,,
Teke,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,
Tekohá (Guarani),,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Tekohá (Paĩ Tavytera/Kaiowá),,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Tekohá (Ñandeva - Avá Guaraní),,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Tekrur,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,
Tenetehara (Tembé),,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Tenimo,,,,,,,,,,,,,,,,,,X,X,X,X,X,,,,,,,,,,,,,,
Tenino,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Teotihuacàn,,,,,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Teotihuacán,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tepehua,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Tepehuane,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,
Tepehuán,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Teppathiggi,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,,,,,,,,,,,,
Tequesta,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Terena,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Teslin Tlingit Council (BC),,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Teslin Tlingit Council (Yukon),,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Tetlit Gwich’in,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Teton,,,,,,,,,,,,,,,,,,X,X,X,X,X,,,,,,,,,,,,,,
Teutonic Knights,,,,,,,,,,,,,X,X,X,X,X,,,,,,,,,,,,,,,,,,,
Te’mexw Treaty Association,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Thaayorre,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,,,,,,,,,,,,
Thai Kingdoms,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thailand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,X
Thalanyji,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,,,,,,,,,,,
Tharawal,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,,,,,,,,,,,,
Tharrgari,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,,,,,,,,,,,
Thiin,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,,,,,,,,,,,
Thompson,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,
Thul Garrie Waja (Bindal),,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,,,,,,,,,,,,
